kata name,developer,kata rank,publish date,total stars,no. collections kata part of,times attempted,times skipped,total code submissions,total times completed,total times completed (P),percentage of votes with positive feedback [%],total votes,total very satisfied,total somewhat satisfied,total not satisfied,total rank assessment,average assessed rank,highest assessed rank,lowest assessed rank,tags
Building a Sequence Cocatenating Digits with a Given Order.,raulbc777,5 kyu,"Apr 20, 2016",16,3,436,193,888,85,63,96,26,24,2,0,8.0,5 kyu,5 kyu,6 kyu,"Fundamentals, Data, Structures, Algorithms, Control, Flow, Basic, Language, Features, Mathematics, Numbers, Optimization, Declarative, Programming, Strings"
Helpers For a 3DGame I: Biggest Triangle in a Sphere,raulbc777,4 kyu,"Sep 24, 2016",40,8,1550,1057,1736,159,116,91,43,36,6,1,4.0,4 kyu,3 kyu,5 kyu,"Fundamentals, Data, Structures, Algorithms, Control, Flow, Basic, Language, Features, Mathematics, Numbers, Optimization, Declarative, Programming, Strings, Geometry, Algebra, Games"
Generating Numbers From Digits #1,raulbc777,6 kyu,"Dec 11, 2016",11,4,276,19,442,87,77,94,43,39,3,1,10.0,6 kyu,5 kyu,7 kyu,"Fundamentals, Data, Structures, Algorithms, Control, Flow, Basic, Language, Features, Mathematics, Numbers, Optimization, Declarative, Programming, Strings"
Cut array into smaller parts,wichu,7 kyu,"Feb 21, 2017",16,1,2047,189,3645,1180,410,88,297,241,38,18,13.0,7 kyu,7 kyu,8 kyu,Fundamentals
Plotting points on a grid.,user2514386,6 kyu,"Jan 15, 2017",16,9,495,15,2533,246,246,85,72,55,12,5,11.0,6 kyu,6 kyu,7 kyu,"Puzzles, Strings, Classes, Basic, Language, Features, Object, Programming, Fundamentals"
Missing Angle,user5196477,6 kyu,"Dec 2, 2016",27,5,869,66,1759,406,64,91,140,119,16,5,13.0,7 kyu,6 kyu,8 kyu,"Algorithms, Mathematics, Numbers, Geometry, Algebra"
Kontti Language,sofiapoh,6 kyu,"Apr 13, 2016",15,4,441,8,1484,175,84,85,78,61,10,7,18.0,6 kyu,5 kyu,8 kyu,"Fundamentals, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Strings"
DevOps legacy roasting -> disco inferno -> burn baby burn,user8476848,6 kyu,"Feb 25, 2017",10,6,327,53,308,126,43,94,54,48,5,1,10.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Strings"
Regex Password Validation,EricFreeman,5 kyu,"Jan 23, 2014",1099,268,45428,12920,151018,15011,"9,138",88,1763,1399,294,70,,,,,"Fundamentals, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Strings, Validation, Algorithms, Utilities"
Coding Meetup #17 - Higher-Order Functions Series - Sort by programming language,PiotrBerebecki,7 kyu,"Nov 30, 2016",27,21,1308,47,4421,776,550,90,215,182,25,8,9.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Higher, Functions, Functions, Control, Flow, Basic, Language, Features, Functional, Programming, Declarative, Programming, Data, Structures, Arrays, Objects, Algorithms, Strings"
Organise duplicate numbers in list,dangerdak,6 kyu,"Feb 22, 2017",52,15,2512,478,5378,1164,446,95,283,255,25,3,13.0,6 kyu,6 kyu,8 kyu,"Fundamentals, Arrays, Sorting, Algorithms"
Character limits: How long is your piece of string?,curiousrabbit,6 kyu,"Feb 27, 2017",11,7,731,57,1971,428,251,92,145,125,18,2,12.0,6 kyu,5 kyu,8 kyu,"Fundamentals, Basic, Language, Features, Strings"
Password generator,user7657844,6 kyu,"Feb 22, 2017",74,21,1633,323,14035,549,247,92,177,152,21,4,12.0,6 kyu,6 kyu,8 kyu,"Fundamentals, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Strings"
IPv4 Validator,user9816389,7 kyu,"Apr 21, 2016",22,5,1179,15,5054,685,183,86,200,157,31,12,15.0,6 kyu,4 kyu,7 kyu,"Bugs, Fundamentals, Strings, Regular, Expressions, Declarative, Programming, Advanced, Language, Features"
Get Euchre Score,Dana,6 kyu,"Jan 6, 2017",3,0,285,64,221,73,19,93,34,29,5,0,11.0,6 kyu,6 kyu,7 kyu,"Algorithms, Games, Arrays"
How many points did the teams from Los Angeles score?,PiotrBerebecki,7 kyu,"Oct 18, 2016",16,8,757,10,3751,376,216,82,131,95,25,11,11.0,6 kyu,6 kyu,8 kyu,"Algorithms, Data, Structures, Arrays, Numbers, Optimization"
Coding 3min: Bug in Apple,myjinxin2015,7 kyu,"Apr 1, 2016",29,6,2019,30,3842,1384,887,93,274,237,33,4,,,,,"Puzzles, Games"
What The Biggest Search Keys?,bestwebua,6 kyu,"Feb 21, 2017",9,2,504,8,1606,238,44,85,101,78,15,8,14.0,6 kyu,5 kyu,8 kyu,"Fundamentals, Arrays, Basic, Language, Features"
Calculate the derivative of a polynomial,P3zhman,5 kyu,"Feb 26, 2016",32,7,657,196,1945,143,143,93,52,47,3,2,8.0,5 kyu,4 kyu,6 kyu,"Fundamentals, Mathematics, Algorithms, Numbers"
Simple Encryption #4 - Qwerty,user5036852,5 kyu,"Oct 2, 2016",112,33,1974,595,3872,475,84,92,142,124,14,4,8.0,5 kyu,4 kyu,6 kyu,"Algorithms, Fundamentals, Cryptography, Security, Strings, Arrays"
Remove HTML tags using regexp,drogimex,7 kyu,"Dec 12, 2016",21,8,1165,26,2585,732,401,90,197,162,30,5,12.0,6 kyu,5 kyu,8 kyu,"Fundamentals, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Strings"
Circle area inside square,joelharkes,7 kyu,"Feb 7, 2017",10,3,1467,27,2912,1113,305,86,273,211,50,12,28.0,7 kyu,6 kyu,8 kyu,"Algorithms, Shape, Modeling, Graphics, Mathematics, Numbers, Geometry, Algebra"
LOTTO 6 aus 49 - 6 of 49,user5036852,6 kyu,"Aug 9, 2016",31,4,945,168,3795,373,34,88,119,92,25,2,9.0,6 kyu,6 kyu,7 kyu,"Algorithms, Basic, Language, Features, Fundamentals, Mathematics, Numbers"
Batman Quotes,afarcilla,7 kyu,"Mar 28, 2015",58,7,4814,746,9111,2014,892,85,258,190,58,10,,,,,"Fundamentals, Arrays"
The Rhinestone Cowboy ~ Count the dollars in his boots!,user8476848,6 kyu,"Feb 16, 2017",5,2,322,18,780,148,78,85,54,40,12,2,11.0,6 kyu,6 kyu,8 kyu,Fundamentals
The latest clock,nirgn,6 kyu,"Feb 1, 2017",8,1,191,2,430,88,88,91,41,35,5,1,10.0,6 kyu,5 kyu,7 kyu,"Puzzles, Dates, Time, Fundamentals, Algorithms"
Rudimentary Pivot Table,coranc,5 kyu,"Jun 16, 2015",9,3,190,64,608,65,65,99,34,33,1,0,10.0,5 kyu,4 kyu,7 kyu,Algorithms
Length of missing array,user5036852,6 kyu,"Aug 19, 2016",284,53,20617,5210,137458,6289,450,79,1272,851,314,107,8.0,6 kyu,5 kyu,7 kyu,"Algorithms, Basic, Language, Features, Fundamentals, Arrays"
Numbers with this digit inside,user5036852,7 kyu,"Aug 12, 2016",83,20,8467,1380,17787,3077,161,86,654,492,139,23,,,,,"Algorithms, Basic, Language, Features, Fundamentals, Mathematics, Numbers"
Reverse and Invert,user7657844,7 kyu,"Feb 7, 2017",15,5,1114,50,3501,622,286,87,198,155,36,7,12.0,6 kyu,6 kyu,8 kyu,"Fundamentals, Lists, Data, Structures, Integers, Numbers"
ROT13 variant cipher,user8580805,6 kyu,"Mar 30, 2016",13,6,662,15,1299,367,51,90,144,118,24,2,16.0,6 kyu,6 kyu,7 kyu,"Algorithms, Cryptography, Security, Strings"
The Sceptical Kid Generator,joeDiHare,6 kyu,"Apr 10, 2016",21,4,419,58,719,156,75,94,65,58,6,1,16.0,6 kyu,5 kyu,8 kyu,"Fundamentals, Strings"
String to list of integers.,Nippius,7 kyu,"May 2, 2016",5,2,799,12,4077,454,373,85,149,114,25,10,24.0,7 kyu,6 kyu,8 kyu,"Algorithms, Strings, Integers, Numbers"
How many e-mails we sent today?,Ilyavovnenko,7 kyu,"Feb 14, 2017",5,3,864,32,2974,550,68,84,176,129,36,11,13.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Numbers, Mathematics, Algorithms, Arithmetic"
Vending Machine,adrian.eyre,6 kyu,"Jan 5, 2017",66,22,1204,41,4294,427,59,92,120,102,17,1,11.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Arrays, Hashes, Data, Structures"
Unflatten a list (Harder than easy),user5036852,4 kyu,"Sep 24, 2016",51,12,2572,1550,1333,184,31,86,54,43,7,4,8.0,3 kyu,3 kyu,4 kyu,"Algorithms, Basic, Language, Features, Fundamentals, Mathematics, Numbers, Arrays"
Reducing by rules to get the result,user5036852,6 kyu,"Dec 22, 2016",43,14,1972,316,4204,784,95,93,197,174,18,5,14.0,6 kyu,6 kyu,7 kyu,"Algorithms, Basic, Language, Features, Fundamentals, Arrays, Control, Flow"
The Modulo-3 Sequence,user2514386,6 kyu,"Feb 10, 2017",18,4,1085,204,3033,468,171,83,152,107,37,8,13.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Numbers, Sequences, Arrays, Arithmetic, Mathematics, Algorithms, Integers"
Sort the comments!,danarters,6 kyu,"Feb 12, 2017",15,4,392,6,822,139,139,94,62,56,5,1,12.0,6 kyu,5 kyu,7 kyu,"Algorithms, Sorting, Recursion, Computability, Theory, Theoretical, Computer, Science"
Sum without highest and lowest number,user5036852,8 kyu,"Jun 23, 2016",505,113,47313,4565,231023,26264,"1,725",88,4174,3315,751,108,,,,,"Fundamentals, Basic, Language, Features"
Adding values of arrays in a shifted way,user5036852,7 kyu,"Aug 31, 2016",63,19,2765,283,5803,928,71,90,253,209,39,5,8.0,6 kyu,6 kyu,7 kyu,"Algorithms, Basic, Language, Features, Fundamentals, Mathematics, Numbers, Arrays"
Don't give me five!,user5036852,7 kyu,"Oct 28, 2016",393,93,43542,5475,155411,19918,"1,459",89,3185,2533,607,45,11.0,7 kyu,7 kyu,8 kyu,"Algorithms, Basic, Language, Features, Fundamentals, Mathematics, Numbers, Arrays"
RPG dice roller,ankr,5 kyu,"Dec 26, 2014",38,15,747,172,4312,192,89,89,74,62,8,4,25.0,5 kyu,4 kyu,6 kyu,"Algorithms, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Fundamentals, Strings, Arrays"
Now that's a crib!,St3f4n,5 kyu,"Nov 23, 2016",21,0,1014,470,851,171,49,94,53,47,6,0,10.0,5 kyu,5 kyu,7 kyu,"Fundamentals, Control, Flow, Basic, Language, Features, Loops"
Vowel Shifting,user5036852,6 kyu,"Jul 7, 2016",90,22,2924,648,12631,885,67,91,260,221,32,7,,,,,"Algorithms, Basic, Language, Features, Fundamentals, Strings, Regular, Expressions, Declarative, Programming, Advanced, Language, Features"
Sort the columns of a csv-file,user5036852,6 kyu,"Oct 7, 2016",35,18,963,95,1670,366,55,96,125,115,10,0,8.0,6 kyu,6 kyu,6 kyu,"Algorithms, Basic, Language, Features, Fundamentals, Mathematics, Numbers, Strings, Arrays"
Split all even numbers to odd ones in different ways,user5036852,6 kyu,"Jan 21, 2017",23,6,739,25,1553,241,32,93,94,84,7,3,10.0,6 kyu,5 kyu,7 kyu,"Algorithms, Basic, Language, Features, Fundamentals, Arrays, Control, Flow"
Qwerty Coordinates -- Strings,Keozon,6 kyu,"Jan 27, 2017",5,6,152,6,1601,56,56,83,33,24,7,2,11.0,5 kyu,4 kyu,7 kyu,"Puzzles, Strings"
Jumble words,smolen,6 kyu,"Feb 8, 2017",13,5,568,42,1804,186,88,87,83,70,4,9,11.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Strings, Algorithms"
Russian Peasant Multiplication,zti21662,7 kyu,"Jan 7, 2017",5,2,249,4,398,177,177,79,70,47,16,7,12.0,7 kyu,7 kyu,8 kyu,Fundamentals
Keep it short (with restrictions),suic,5 kyu,"Dec 14, 2016",8,2,258,19,825,97,97,91,54,45,8,1,12.0,5 kyu,5 kyu,7 kyu,"Puzzles, Games"
Temperature analysis II,user7657844,7 kyu,"Jan 29, 2017",7,8,487,3,2257,233,233,92,87,75,10,2,19.0,7 kyu,6 kyu,8 kyu,Fundamentals
Spy games - rebuild your decoder,mkelty,6 kyu,"Jan 1, 2017",18,8,876,180,2579,383,195,96,139,128,11,0,11.0,6 kyu,6 kyu,8 kyu,Fundamentals
Transposing a song,hwtdstrngls,7 kyu,"Jul 28, 2015",22,6,819,40,2430,349,220,85,71,55,10,6,,,,,"Algorithms, Fundamentals, Strings, Parsing, Lists, Data, Structures"
Assignment #3,user8580805,6 kyu,"May 18, 2016",8,2,473,24,723,261,54,95,111,103,6,2,18.0,6 kyu,5 kyu,7 kyu,"Algorithms, Cryptography, Security, Strings"
Same Birthday Probability,Et3rn1ty,7 kyu,"Sep 17, 2014",20,4,1079,50,4976,378,170,78,118,82,21,15,,,,,Algorithms
draw me a chessboard,andrewMacmurray,7 kyu,"Nov 24, 2015",35,8,1615,43,3055,945,471,94,238,213,22,3,,,,,"Algorithms, Puzzles, Games, Fundamentals"
regex validation of 24 hours time.,daymos,7 kyu,"Jan 24, 2016",27,14,1594,47,5827,947,454,91,229,194,27,8,,,,,"Fundamentals, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Strings, Dates, Time, Parsing, Algorithms"
Width-Height Ratio,bopapes,7 kyu,"May 5, 2015",12,0,1042,62,3240,537,268,87,119,95,17,7,,,,,Algorithms
Grab CSV Columns,xDranik,5 kyu,"Nov 3, 2013",23,9,1098,195,2994,510,291,87,127,103,16,8,,,,,"Algorithms, Utilities, Formatting, Strings"
Logical Disjunctions,justlemons,6 kyu,"Jul 25, 2015",4,2,508,38,734,207,57,93,82,71,10,1,19.0,6 kyu,6 kyu,7 kyu,"Algorithms, Mathematics, Numbers"
Count the Characters,davidhu2000,7 kyu,"Jul 4, 2016",34,5,3317,136,12195,2347,898,91,493,409,76,8,10.0,7 kyu,7 kyu,8 kyu,"Algorithms, Fundamentals, Loops, Control, Flow, Basic, Language, Features"
Points On A Line,prksingh,6 kyu,"Jul 5, 2014",78,1,3093,904,17147,1008,746,85,130,102,18,10,,,,,"Fundamentals, Arrays, Geometry, Algebra, Mathematics, Algorithms"
Thinkful - String Drills: Poem formatter,Grae-Drake,7 kyu,"Dec 21, 2016",16,12,1921,13,6688,1474,"1,292",88,212,166,42,4,16.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Strings"
Thinkful - String Drills: Repeater level 2,Grae-Drake,7 kyu,"Dec 21, 2016",8,11,2263,30,6498,1828,"1,481",88,312,251,48,13,12.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Strings, Formats"
Variance in a array of words,MicheDev,6 kyu,"Sep 12, 2015",11,4,226,38,361,87,87,88,32,25,6,1,14.0,6 kyu,6 kyu,8 kyu,"Algorithms, Statistics, Data"
Ratio of Bouncy Numbers,cave.on,5 kyu,"Oct 24, 2015",9,2,326,90,372,89,38,97,35,33,2,0,12.0,5 kyu,3 kyu,7 kyu,"Puzzles, Mathematics, Algorithms, Numbers, Games"
Domino Reaction,grensley,6 kyu,"Dec 11, 2016",6,1,287,20,755,172,134,93,70,61,8,1,11.0,6 kyu,6 kyu,7 kyu,Fundamentals
Help Kiyo きよ solve her problems LCM Fun!,user8476848,6 kyu,"Jan 9, 2017",11,2,524,66,1248,197,68,93,80,72,4,4,10.0,6 kyu,5 kyu,7 kyu,"Fundamentals, Algorithms, Data, Structures, Mathematics, Numbers"
Dead Ants,dinglemouse,6 kyu,"Sep 12, 2016",71,14,2918,750,10040,1012,199,91,287,243,36,8,8.0,6 kyu,5 kyu,7 kyu,Algorithms
Become The Ultimate Phychic,spacewalker,5 kyu,"Jul 25, 2015",23,3,529,90,660,186,132,96,53,49,4,0,9.0,5 kyu,3 kyu,7 kyu,"Puzzles, Mathematics, Algorithms, Numbers"
Lucky Bus Ticket,akavasin,7 kyu,"Feb 1, 2017",15,3,1337,65,4879,907,345,91,246,206,37,3,10.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Numbers"
Biggest Sum,smiks,5 kyu,"May 22, 2016",24,8,417,38,1140,138,138,98,51,49,2,0,11.0,5 kyu,5 kyu,6 kyu,"Algorithms, Dynamic, Programming"
Loose Change (Part 2),tomioueda,5 kyu,"Jun 5, 2015",8,3,316,51,345,94,94,91,40,34,5,1,12.0,5 kyu,4 kyu,7 kyu,Algorithms
World Bits War,GiacomoSorbi,6 kyu,"Jan 24, 2017",40,11,1365,367,2145,476,119,95,164,147,17,0,10.0,6 kyu,6 kyu,8 kyu,"Fundamentals, Bits, Binary, Map, Reduce, Algorithms, Arrays, Integers, Numbers"
How many cows do you have?,St3f4n,6 kyu,"Nov 20, 2016",33,7,705,33,2117,189,81,93,77,67,9,1,10.0,6 kyu,5 kyu,7 kyu,"Puzzles, Mathematics, Algorithms, Numbers"
N-Parasitic Numbers Ending in N,LesRamer,3 kyu,"Aug 28, 2015",126,25,4523,2838,5608,457,47,93,105,93,10,2,10.0,3 kyu,2 kyu,5 kyu,"Puzzles, Numbers, Algorithms, Mathematics"
Kata Impossible I - The Impossible Lottery,donaldsebleung,6 kyu,"Feb 23, 2016",12,2,554,13,3735,156,93,82,49,37,6,6,,,,,"Puzzles, Games"
The fibfusc function -- Part 1,ecolban,6 kyu,"Apr 14, 2016",2,3,298,35,279,152,152,89,57,44,13,0,13.0,6 kyu,5 kyu,8 kyu,Fundamentals
Temperature analysis I,user7657844,7 kyu,"Jan 29, 2017",10,3,1025,33,2529,750,300,90,206,168,33,5,15.0,7 kyu,7 kyu,8 kyu,Fundamentals
Land perimeter,St3f4n,5 kyu,"Nov 26, 2016",162,38,4880,1868,6799,1491,563,95,285,260,24,1,10.0,5 kyu,5 kyu,7 kyu,"Fundamentals, Loops, Control, Flow, Basic, Language, Features"
2D / 1D array coordinates mapping,Joz,7 kyu,"Jan 29, 2017",3,3,313,5,558,133,85,85,62,46,13,3,13.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Arrays, Mathematics, Algorithms, Numbers, Mapping"
All Star Code Challenge #31,shaddyjr,7 kyu,"Dec 31, 2016",6,5,470,11,1036,277,149,86,96,74,18,4,13.0,7 kyu,6 kyu,8 kyu,Fundamentals
All Star Code Challenge #23,shaddyjr,6 kyu,"Dec 31, 2016",19,5,2370,29,2145,306,176,90,106,87,17,2,10.0,6 kyu,6 kyu,7 kyu,Fundamentals
Reversing Words in a String,user2514386,8 kyu,"Aug 7, 2016",126,45,15467,1092,46669,10242,"2,811",89,1776,1435,293,48,,,,,"Fundamentals, Strings"
Thinkful - Number Drills: Quadratic formula,Grae-Drake,7 kyu,"Dec 28, 2016",12,10,1424,11,3006,1120,"1,120",87,131,103,22,6,11.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Numbers, Mathematics, Algorithms"
MTV Cribs,St3f4n,6 kyu,"Nov 22, 2016",20,8,1051,187,2174,401,109,94,112,99,12,1,8.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Control, Flow, Basic, Language, Features, Loops"
Integer with the longest Collatz sequence,jsms90,6 kyu,"Aug 13, 2016",13,3,422,24,697,257,116,93,98,86,11,1,14.0,6 kyu,5 kyu,7 kyu,"Fundamentals, Algorithms, Arithmetic, Mathematics, Numbers, Sequences, Arrays"
Acronym Buster,pbywater,6 kyu,"Nov 26, 2016",21,9,633,14,3019,264,112,89,89,73,13,3,8.0,6 kyu,5 kyu,7 kyu,"Algorithms, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Fundamentals, Strings, Parsing"
Base Conversion,BattleRattle,6 kyu,"Oct 25, 2013",729,108,22809,8659,46644,6177,"3,837",91,728,615,91,22,,,,,"Algorithms, Utilities, Strings, Mathematics, Numbers"
Calculate the function f(x) for a simple linear sequence (Medium),Mackay,6 kyu,"Nov 28, 2014",24,5,2486,839,3835,860,215,92,110,95,12,3,,,,,"Fundamentals, Arithmetic, Mathematics, Algorithms, Numbers, Sequences, Arrays, Functions, Control, Flow, Basic, Language, Features"
Interweaving strings and removing digits,stok,7 kyu,"Jan 26, 2017",18,3,1321,29,3720,467,258,92,172,151,16,5,5.0,7 kyu,6 kyu,8 kyu,Fundamentals
Bits Battle,vpop,7 kyu,"Jan 23, 2017",33,8,1354,123,4301,770,265,92,213,184,23,6,12.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Puzzles, Games, Binary, Bits"
Thinkful - Number Drills: Rømer temperature,Grae-Drake,7 kyu,"Dec 27, 2016",9,10,2092,41,4092,1677,"1,406",82,238,174,44,20,12.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Numbers"
We are the Robots d[(0)(0)]b,user8476848,6 kyu,"Jan 15, 2017",12,8,450,40,1079,140,46,92,63,54,8,1,11.0,6 kyu,5 kyu,7 kyu,"Puzzles, Algorithms, Data, Structures, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Fundamentals, Strings"
SHA-256,user7657844,6 kyu,"Jan 18, 2017",13,3,367,8,519,230,230,88,80,63,15,2,12.0,6 kyu,6 kyu,8 kyu,"Algorithms, Strings, Hashes, Data, Structures, Cryptography, Security"
Suzuki needs help lining up his students!,user8476848,7 kyu,"Apr 3, 2016",70,18,2929,139,9193,1418,458,91,263,223,31,9,,,,,"Fundamentals, Strings, Sorting, Algorithms"
Social Golfer Problem Validator,rtoal,4 kyu,"Jun 1, 2015",123,16,4108,1753,7008,1048,"1,048",94,235,208,24,3,12.0,4 kyu,4 kyu,6 kyu,"Fundamentals, Algorithms"
All Star Code Challenge #29,shaddyjr,7 kyu,"Dec 31, 2016",2,4,579,9,1682,508,229,92,170,147,19,4,31.0,7 kyu,6 kyu,8 kyu,Fundamentals
Help Suzuki complete his chores!,user8476848,7 kyu,"Dec 11, 2016",11,7,1072,28,1502,469,138,90,126,105,18,3,8.0,7 kyu,7 kyu,7 kyu,Algorithms
Bug Fix - Quick Sort,Drymonade,6 kyu,"Feb 12, 2016",15,8,900,16,1801,352,352,87,91,74,11,6,18.0,6 kyu,5 kyu,8 kyu,"Bugs, Sorting, Algorithms, Fundamentals"
Goldbach's conjecture (Prime numbers),P3zhman,6 kyu,"Feb 25, 2016",8,5,253,25,468,138,138,97,72,67,5,0,14.0,6 kyu,5 kyu,8 kyu,"Fundamentals, Mathematics, Algorithms, Numbers"
Rotational energy levels,stok,7 kyu,"Jan 15, 2017",3,2,456,17,874,276,145,90,97,81,12,4,12.0,7 kyu,6 kyu,8 kyu,Fundamentals
No yelling!,user2514386,7 kyu,"Jan 14, 2017",8,6,936,30,4497,682,488,86,139,108,22,9,13.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Strings"
String destroyer (plus extra credit),mkelty,7 kyu,"Jan 8, 2017",9,3,721,47,1719,350,213,88,109,89,14,6,12.0,7 kyu,7 kyu,8 kyu,Fundamentals
Series of integers from 0 to n,buttonupbub,7 kyu,"Dec 2, 2016",5,2,1452,53,2177,1185,618,87,315,250,51,14,17.0,7 kyu,7 kyu,8 kyu,Fundamentals
Make a square box!,user2514386,7 kyu,"Dec 28, 2016",16,7,1454,33,2711,924,391,87,194,149,39,6,12.0,7 kyu,7 kyu,8 kyu,"Algorithms, Strings, Arrays"
Alien Accent,user2514386,7 kyu,"Jan 10, 2017",4,3,646,12,1028,500,411,84,138,102,28,8,19.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Strings"
Find the discounted prices,GiacomoSorbi,6 kyu,"Mar 24, 2016",12,3,463,28,1128,206,105,92,76,68,4,4,19.0,6 kyu,5 kyu,7 kyu,"Algorithms, Arrays, Lists, Data, Structures"
Thinkful - List and Loop Drills: Grade calculator,Grae-Drake,7 kyu,"Jan 5, 2017",9,10,1450,8,3169,1222,"1,222",88,134,107,22,5,12.0,7 kyu,7 kyu,8 kyu,Fundamentals
Thinkful - Dictionary Drills: Multiple Modes,Grae-Drake,6 kyu,"Jan 6, 2017",27,16,1318,18,6456,888,887,91,114,95,18,1,12.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Lists, Data, Structures"
Thinkful - List and Loop Drills: Lists of lists,Grae-Drake,7 kyu,"Jan 5, 2017",16,13,1502,9,3456,1203,"1,146",89,144,115,26,3,16.0,7 kyu,6 kyu,8 kyu,Fundamentals
Exclamation marks series #8: Move all exclamation marks to the end of the sentence,myjinxin2015,7 kyu,"Oct 10, 2016",23,9,1403,74,2684,980,412,92,279,238,36,5,9.0,7 kyu,6 kyu,8 kyu,Fundamentals
Statistics in Kata 1: OR case - Unfair dice,powderham,6 kyu,"Jun 22, 2016",9,1,416,14,699,178,43,83,47,34,10,3,16.0,6 kyu,6 kyu,8 kyu,"Puzzles, Statistics, Algorithms, Data"
Minutes to Midnight,zruF,6 kyu,"Dec 15, 2016",17,7,760,29,4460,431,155,84,102,75,21,6,9.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Dates, Time"
AD2070: Help Lorimar troubleshoot his robots- ultrasonic distance analysis,user8476848,7 kyu,"Apr 17, 2016",9,1,689,54,1256,327,156,86,109,85,18,6,12.0,7 kyu,6 kyu,8 kyu,"Algorithms, Mathematics, Numbers, Statistics, Data"
Debug the functions EASY,user3186707,7 kyu,"Dec 6, 2016",8,3,2433,28,6758,1742,940,89,416,338,63,15,9.0,7 kyu,7 kyu,8 kyu,"Bugs, Functions, Control, Flow, Basic, Language, Features, Fundamentals, Arithmetic, Mathematics, Algorithms, Numbers"
String reverse slicing 101,mkelty,7 kyu,"Jan 6, 2017",14,6,1170,34,2257,756,351,91,202,168,30,4,18.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Strings, Basic, Language, Features"
"Exclamation marks series #17: Put the exclamation marks and question marks to the balance, Are they balanced?",myjinxin2015,6 kyu,"Oct 10, 2016",41,17,5291,610,10011,4094,"1,787",92,605,516,83,6,8.0,6 kyu,6 kyu,8 kyu,Fundamentals
Nothing special,EricDalrymple91,7 kyu,"Apr 4, 2016",15,6,1163,61,6364,742,364,91,208,176,25,7,44.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Strings"
"Begin your day with a challenge, but an easy one.",raulbc777,6 kyu,"Jan 9, 2017",14,4,755,23,5124,294,147,90,108,92,11,5,10.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Thinkful - String Drills: Areacode extractor,Grae-Drake,7 kyu,"Dec 21, 2016",16,11,2032,12,5936,1671,"1,435",88,226,181,35,10,16.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Strings"
Character Counter and Bars Graph,mmalkavian,6 kyu,"Nov 12, 2016",13,3,350,7,1721,132,86,93,61,53,7,1,10.0,6 kyu,5 kyu,7 kyu,"Fundamentals, Arrays"
Thinkful - Logic Drills: Umbrella decider,Grae-Drake,7 kyu,"Dec 29, 2016",19,10,1998,23,9004,1597,"1,342",88,238,190,38,10,12.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Booleans, Control, Flow, Basic, Language, Features"
How much will you spend?,user2514386,7 kyu,"Dec 23, 2016",10,4,973,28,3007,542,542,88,137,110,20,7,11.0,7 kyu,7 kyu,8 kyu,"Algorithms, Mathematics, Numbers, Floats, Doubles"
Naughty or Nice?,user2514386,7 kyu,"Dec 24, 2016",12,7,1511,84,3848,907,428,88,187,150,29,8,12.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Hacking, Holidays, Mathematics, Algorithms, Numbers"
Old Mobile Display,mmalkavian,6 kyu,"Dec 12, 2016",22,3,446,20,1650,117,52,86,47,36,9,2,10.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Strings"
Can Santa save Christmas?,zruF,7 kyu,"Dec 19, 2016",12,4,1154,15,2816,668,381,91,241,204,31,6,13.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Dates, Time"
